"","siteid","lat","long","ecoreg","era","area","doc","no3","tn","tp","temp","precip","elev","forest","wetland","urban","ag","roads"
"1","FW08AL012",34.95092177,-87.042028,"8","Year2008",4788.279785,1.58,1.08983,1.306,174.2488,15.1,1422,292.524,44.613,0.946,6.519,42.103,1.627
"2","FW08AL012",34.95092177,-87.042028,"8","Year2008",4788.279785,1.58,1.08983,1.306,174.2488,15.1,1422,292.524,44.613,0.946,6.519,42.103,1.627
"3","FW08AL012",34.95092177,-87.042028,"8","Year2008",4788.279785,2.17,0.34633,0.864,179.0163,15.1,1422,NA,NA,NA,NA,NA,NA
"4","FW08AL012",34.95092177,-87.042028,"8","Year2008",4788.279785,2.17,0.34633,0.864,179.0163,15.1,1422,NA,NA,NA,NA,NA,NA
"5","FW08AL013",33.26014983,-85.50357137,"8","Year2008",3.432600021,0.78,0.0744,0.085,31.8288,15.9,1454,291.706,73.387,0,3.042,13.005,0.858
"6","FW08AL014",32.48594218,-85.72031495,"8","Year2008",926.0349731,2.71,0.50548,0.92,13.9544,17.5,1382,136.849,55.545,6.96,9.541,13.717,1.669
"7","FW08AL015",31.08686327,-87.08175172,"8","Year2008",1615.48999,5.15,0.07628,0.247,24.7256,18.3,1599,85.52,60.138,5.261,3.832,10.988,0.995
"8","FW08AL016",34.69505835,-87.76208738,"8","Year2008",169.302002,1.8,0.12622,0.18,17.105,15.5,1393,NA,NA,NA,NA,NA,NA
"9","FW08AL016",34.69505835,-87.76208738,"8","Year2008",169.302002,1.8,0.12622,0.18,17.105,15.5,1393,NA,NA,NA,NA,NA,NA
"10","FW08AL016",34.69505835,-87.76208738,"8","Year2008",169.302002,1.96,0.16156,0.349,20.4681,15.5,1393,215.629,59.176,1.286,5.332,24.511,1.388
"11","FW08AL016",34.69505835,-87.76208738,"8","Year2008",169.302002,1.96,0.16156,0.349,20.4681,15.5,1393,215.629,59.176,1.286,5.332,24.511,1.388
"12","FW08AL018",32.93231611,-86.36246869,"8","Year2008",6.438109875,1.51,0.03841,0.154,22.58,16.8,1421,199.32,69.423,0.754,6.146,0,1.202
"13","FW08AL019",32.91383014,-87.53264771,"8","Year2008",4.570199966,7.01,0.00437,0.626,29.9513,17.2,1406,102.157,90.824,1.201,1.162,0.532,1.669
"14","FW08AL020",33.41281267,-86.75189943,"8","Year2008",527.7869873,2.89,0.49235,0.793,129.7675,16.5,1427,229.67,58.235,0.795,24.754,7.074,3.737
"15","FW08AL021",31.34380861,-85.60881312,"8","Year2008",1779.349976,4.39,0.3962,0.551,30.6188,18.7,1345,114.491,48.971,6.132,4.476,20.724,1.162
"16","FW08AL022",31.68739652,-88.05213311,"8","Year2008",468.1629944,5.27,0.07338,0.229,37.5481,18.1,1515,67.05,69.612,6.984,1.806,0.972,0.638
"17","FW08AL023",32.15904561,-87.01008263,"8","Year2008",936.0930176,3.9,0.00243,0.176,73.1838,18,1370,89.169,66.724,7.44,3.09,7.221,0.612
"18","FW08AL024",34.00378128,-86.74110543,"8","Year2008",932.0930176,3.94,2.82623,2.978,311.2425,15.6,1437,249.223,29.064,0.554,10.079,52.201,2.419
"19","FW08AL025",32.43328885,-84.96698746,"8","Year2008",12277.90039,2.31,0.27767,0.529,22.1656,18,1193,297.768,54.932,2.295,21.279,10.667,3.201
"20","FW08AL026",31.19892816,-87.90346053,"8","Year2008",58620.10156,4.22,0,0.35,60.5438,18.7,1575,197.802,58.616,5.174,8.378,14.678,1.635
"21","FW08AL027",32.12422057,-87.52831805,"8","Year2008",2.906100035,5.07,0.00096,0.293,138.5844,17.8,1420,58.21,66.987,10.561,2.818,0.062,0.537
"22","FW08AL028",34.90862922,-87.06229652,"8","Year2008",4960.100098,1.59,1.02523,1.273,170.805,15.1,1422,290.872,45.083,0.945,6.432,41.713,1.616
"23","FW08AL029",33.62400503,-85.49383877,"8","Year2008",1145.800049,2.04,0.14636,0.298,40.835,15.3,1451,344.126,62.614,2.166,6.598,14.684,1.837
"24","FW08AL030",31.86806513,-85.76601507,"8","Year2008",21.30699921,6.14,0.05757,0.403,31.34,17.9,1349,142.468,77.228,2.678,3.724,1.869,1.354
"25","FW08AL031",33.15834892,-87.02985999,"8","Year2008",1444.47998,2.43,0.41103,0.689,116.83,16.9,1466,201.379,54.341,1.216,30.256,5.786,3.974
"26","FW08AL032",34.50734375,-88.05036703,"8","Year2008",219.5440063,1.64,0.18665,0.371,9.7925,15.4,1443,243.029,59.493,0.401,4.545,14.441,1.252
"27","FW08AL033",33.79214422,-86.13073021,"8","Year2008",0.834299982,1.71,0.00349,0.251,32.6688,16.1,1389,231.588,85.869,0,0,3.02,2.051
"28","FW08AL034",31.30014686,-88.40095587,"8","Year2008",292.4840088,17.08,0.00062,1.214,101.0713,18.3,1591,72.878,62.357,7.317,4.217,7.338,1.053
"29","FW08AL035",33.24312036,-87.50377582,"8","Year2008",12429.59961,2.31,0.27,0.518,19.5588,17,1427,190.431,58.814,1.405,9.029,16.417,1.957
"30","FW08AL036",33.8511662,-87.80278113,"8","Year2008",5.940000057,0.7,0.27757,0.268,24.9875,15.5,1504,162.508,61.954,2.167,6.395,9.075,1.94
"31","FW08AL046",32.98546202,-85.32497105,"8","Year2008",6.46310997,1.32,0.09421,0.255,41.0169,16.8,1380,238.737,71.486,0.458,5.014,8.653,0.998
"32","FW08AL047",32.97036777,-87.1982608,"8","Year2008",3.299410105,1.44,0.05875,0.089,20.2781,17.2,1427,111.987,64.685,0.273,12.572,4.2,3.216
"33","FW08AL051",32.18553827,-86.90636776,"8","Year2008",1.839599967,2.08,0.00144,0.012,17.7756,18.1,1325,106.571,80.724,3.327,4.403,0,0.679
"34","FW08AR010",35.62598092,-89.87932863,"8","Year2008",2373440,3.130790029,NA,1.503,194,15.6,1274,696.353,20.557,2.594,5.54,37.788,1.313
"35","FW08AR012",34.35270394,-91.10541947,"8","Year2008",70555.70313,2.4,0.1816,0.485,111.5588,16.3,1302,253.05,56.205,3.174,4.927,31.951,1.314
"36","FW08AR012",34.35270394,-91.10541947,"8","Year2008",70555.70313,2.4,0.1816,0.485,111.5588,16.3,1302,253.05,56.205,3.174,4.927,31.951,1.314
"37","FW08AR012",34.35270394,-91.10541947,"8","Year2008",70555.70313,3.18,0.24671,0.554,98.9875,16.3,1302,NA,NA,NA,NA,NA,NA
