,model_type,nutrient,data_type,r^2,times_better_than_random,ecoreg,era,area,temp,precip,elev,forest,wetland,ag,urban
0,MLP,doc,lake_normal,0.7147694747487117,3.887586157812286,,,,,,,,,,
1,MLP,no3,lake_normal,0.2372306244078595,1.7118218560127256,,,,,,,,,,
2,MLP,tn,lake_normal,0.5361912065904051,3.100811854189973,,,,,,,,,,
3,MLP,tp,lake_normal,0.40038754349503575,2.438421841572056,,,,,,,,,,
4,GBR,doc,lake_normal,0.6029348400792531,2.800116739931761,7.743806945881815e-05,0.00515540222574876,0.08404700784446567,0.018929658891986664,0.2500317368417338,0.23580103803012764,0.11150463061120514,0.07109280807021967,0.032856578068574116,0.19050370134647973
5,GBR,no3,lake_normal,0.22845376106014237,0.8561190998661943,0.034347684821364924,0.032113350129412806,0.06976222610546154,0.02596807507736314,0.047906710331706605,0.19075827627869515,0.18081799362076076,0.07033365359049237,0.22181898516597326,0.12617304487876935
6,GBR,tn,lake_normal,0.6521096056757774,2.815448523327599,3.4512154056912724e-06,0.007922524857241401,0.04226694023296753,0.11336294362152882,0.11770043415361411,0.1875242657377176,0.25027191599609455,0.03194105232508217,0.1182084024062319,0.13079806945411634
7,GBR,tp,lake_normal,0.8180891944212478,2.732244090322317,0.0007019456980900253,0.005719687830725697,0.03587418523650554,0.10475133250193908,0.5471471471049649,0.12541515369368544,0.058261600458185465,0.04571086370672076,0.043370720789683896,0.033047362979499305
8,RFR,doc,lake_normal,0.8726545267115204,9.397501601728598,0.0013359283474629496,0.003499252373197849,0.1217964325936336,0.03266826541062914,0.19884141118242485,0.14980058035286883,0.10054745253349733,0.11602914426370006,0.12243835691432721,0.1530431760282581
9,RFR,no3,lake_normal,0.5637174479545304,4.506543837988065,0.014071920334914825,0.007063559139030598,0.08113427819748067,0.047657274585228775,0.05025888844165953,0.15878154435555505,0.17124304122972686,0.05842840362298966,0.2780136503471985,0.1333474397462155
10,RFR,tn,lake_normal,0.777126487736277,6.716186049478567,0.0008748389480492221,0.002145111957567296,0.10103603003773624,0.1997849952877942,0.06408144252775703,0.060890216930290356,0.2518137639216903,0.08087180664301566,0.07784679332911745,0.1606550004169822
11,RFR,tp,lake_normal,0.8963707622532084,8.14190974943429,0.007118129702646569,0.0030843546686554393,0.046373543713337614,0.06175064470744722,0.5322539912226932,0.11187585767447612,0.05297155127471538,0.0455317808822517,0.09491116179110917,0.04412898436266756
12,DTR,doc,lake_normal,0.8225115684387735,8.97228661630467,0.00029683733145103436,0.0007392349357904219,0.01826627459709105,0.005359831079054034,0.36489654960261864,0.013419638772024874,0.1557030556114759,0.25872649774001455,0.01374763651538524,0.16884444381509442
13,DTR,no3,lake_normal,0.2606430949512032,3.831092392042881,0.00912063165668019,0.0542526325064542,0.045841967479220855,0.04436739925091881,0.09292359388347539,0.033441907522638065,0.27113817842740695,0.010585513390202273,0.256833142836593,0.18149503304641032
14,DTR,tn,lake_normal,0.49282753060157136,5.307827677707337,0.004260272558397674,0.00015030809290432484,0.02298975797953467,0.11940164207437187,0.05322226953186351,0.21573116943283285,0.34053395469833697,0.01946768816221517,0.04395389556874433,0.1802890419007986
15,DTR,tp,lake_normal,0.8699218033530913,9.226290643742592,0.00023263511376323275,0.0010417102432393173,0.03432705510001155,0.11387306491736508,0.40436757436539733,0.26971421264113155,0.10510828861683949,0.0451892171025585,0.006858345998541376,0.019287895901152572
