,model_type,nutrient,data_type,r^2,times_better_than_random,ecoreg,era,temp,precip,elev,forest,wetland,urban,ag
0,MLP,lev_doc,lake_leverage,0.10096029491284642,2.3455509843152966,,,,,,,,,
1,MLP,lev_no3,lake_leverage,0.16499519685748898,3.28126037747711,,,,,,,,,
2,MLP,lev_tn,lake_leverage,0.23774500444157473,2.417766318898051,,,,,,,,,
3,MLP,lev_tp,lake_leverage,0.7894979365942154,2.795203720802569,,,,,,,,,
4,GBR,lev_doc,lake_leverage,0.07273398172943402,0.9119074092435379,0.04080731677493126,0.003312099278825474,0.05513003354654568,0.09951135262657111,0.17567954841891326,0.07091139372926211,0.38707914576231217,0.10796097662331783,0.05960813323932117
5,GBR,lev_no3,lake_leverage,0.3413360669825719,1.5824595874906127,0.00038390494360942076,0.004474831240176441,0.22140847059071372,0.06457565627347651,0.04019089243569021,0.275039430157121,0.03368825965209184,0.1883136955189931,0.17192485918812772
6,GBR,lev_tn,lake_leverage,0.4242830364206906,1.9281299860834495,0.013646674845784905,0.005368510253581507,0.0949645369329461,0.20563209920680736,0.05131004831638454,0.29812217633680727,0.05101296983571167,0.11585420202936161,0.16408878224261503
7,GBR,lev_tp,lake_leverage,0.9145469034696276,4.594181149121052,0.02577852183148943,0.006539690784512862,0.03138065822643893,0.1647889957338174,0.015081989918960316,0.49745895424951364,0.031563961101921355,0.1982777583799004,0.029129469773445514
8,RFR,lev_doc,lake_leverage,0.30510342971992344,6.424631767191482,0.06256383649177888,0.018467774387380426,0.04154042198175167,0.09135986732451822,0.26848658149206195,0.13615312034156837,0.2711684943728737,0.056442931089889105,0.05381697251817771
9,RFR,lev_no3,lake_leverage,0.5804064271241041,13.403264621582432,0.0024293378955201786,0.005935216408753839,0.1480867670436473,0.10544975135905986,0.07818594413660228,0.20944038313857635,0.05710547172462431,0.258191552766713,0.1351755755265031
10,RFR,lev_tn,lake_leverage,0.5185615031152988,9.660285089441626,0.07301872203509803,0.002838888699984161,0.09429622347788819,0.15427883804773626,0.09456924607388878,0.24467167561433237,0.06805254168801105,0.14411760154807854,0.1241562628149825
11,RFR,lev_tp,lake_leverage,0.9637725050867275,36.38853936955022,0.045850264049118364,0.003305335610186955,0.01914103812795821,0.24715337750810926,0.02084925025266981,0.283524188367825,0.02472329465721074,0.3189879333008895,0.03646531812603217
12,DTR,lev_doc,lake_leverage,0.3049620078308919,5.870332921037274,0.048091917530198015,0.02430598586277247,0.02827671032766705,0.0420268391200811,0.05658393928214243,0.16913389170678936,0.34316588749565863,0.07195688105390807,0.21645794762078288
13,DTR,lev_no3,lake_leverage,0.5326869074304269,13.655781696913191,0.00013662227467303164,6.353624636875588e-05,0.17266976153823038,0.028812292315392472,0.00651573085988106,0.4907969602216558,0.0009579737187006639,0.21907164463204634,0.08097547819305141
14,DTR,lev_tn,lake_leverage,0.5659804654319438,10.281163270023512,0.034670578024996256,0.00954302349670685,0.03447532898248842,0.2591970747177087,0.0837817255357671,0.4083242879564752,0.05483951397660846,0.09450693805239255,0.02066152925685644
15,DTR,lev_tp,lake_leverage,0.8673048927183769,27.93950027251591,0.05560847678770532,0.00039786740322851594,0.022122698283980242,0.156240957541509,0.020812248356233957,0.5642082202307044,0.00481095598075247,0.1650525674110913,0.01074600800479482
