"","siteid","lat","long","ecoreg","era","area","doc","no3","tn","tp","temp","precip","elev","forest","wetland","ag","urban"
"1","NLA06608-0001",48.97902855,-114.0218399,"6","Year2007",3.757720078,0.63,0.131,0.151,6,0.9,697,1605.73,41.9,0,0,0
"2","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.69,0.005,0.469,22,18.1,1261,4.9,59.9,32.8,0.3,1
"3","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.69,0.005,0.469,22,18.1,1261,4.9,59.9,32.8,0.3,1
"4","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.69,0.005,0.469,22,18.1,1261,4.9,59.9,32.8,0.3,1
"5","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.69,0.005,0.469,22,18.1,1261,4.9,59.9,32.8,0.3,1
"6","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.69,0.005,0.469,22,18.1,1261,4.9,59.9,32.8,0.3,1
"7","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.69,0.005,0.469,22,18.1,1261,4.9,59.9,32.8,0.3,1
"8","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.8,0.012,0.507,25,18.1,1261,4.9,59.9,32.8,0.3,1
"9","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.8,0.012,0.507,25,18.1,1261,4.9,59.9,32.8,0.3,1
"10","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.8,0.012,0.507,25,18.1,1261,4.9,59.9,32.8,0.3,1
"11","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.8,0.012,0.507,25,18.1,1261,4.9,59.9,32.8,0.3,1
"12","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.8,0.012,0.507,25,18.1,1261,4.9,59.9,32.8,0.3,1
"13","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.8,0.012,0.507,25,18.1,1261,4.9,59.9,32.8,0.3,1
"14","NLA06608-0002",33.03614283,-79.984084,"8","Year2012",1.773025378,14.09,0.003,0.779,44,18.1,1261,4.9,58.880408,28.091603,0,0.763359
"15","NLA06608-0002",33.03614283,-79.984084,"8","Year2012",1.773025378,14.09,0.003,0.779,44,18.1,1261,4.9,58.880408,28.091603,0,0.763359
"16","NLA06608-0002",33.03614283,-79.984084,"8","Year2012",1.773025378,14.09,0.003,0.779,44,18.1,1261,4.9,58.880408,28.091603,0,0.763359
"17","NLA06608-0002",33.03614283,-79.984084,"8","Year2012",1.773025378,14.09,0.003,0.779,44,18.1,1261,4.9,58.880408,28.091603,0,0.763359
"18","NLA06608-0002",33.03614283,-79.984084,"8","Year2012",1.773025378,14.09,0.003,0.779,44,18.1,1261,4.9,58.880408,28.091603,0,0.763359
"19","NLA06608-0002",33.03614283,-79.984084,"8","Year2012",1.773025378,14.09,0.003,0.779,44,18.1,1261,4.9,58.880408,28.091603,0,0.763359
"20","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,14.02,0.005,0.695,36,18.1,1261,4.9,59.9,32.8,0.3,1
"21","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,14.02,0.005,0.695,36,18.1,1261,4.9,59.9,32.8,0.3,1
"22","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,14.02,0.005,0.695,36,18.1,1261,4.9,59.9,32.8,0.3,1
"23","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,14.02,0.005,0.695,36,18.1,1261,4.9,59.9,32.8,0.3,1
"24","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,14.02,0.005,0.695,36,18.1,1261,4.9,59.9,32.8,0.3,1
"25","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,14.02,0.005,0.695,36,18.1,1261,4.9,59.9,32.8,0.3,1
"26","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.8,0.012,0.507,25,18.1,1261,4.9,59.9,32.8,0.3,1
"27","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.8,0.012,0.507,25,18.1,1261,4.9,59.9,32.8,0.3,1
"28","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.8,0.012,0.507,25,18.1,1261,4.9,59.9,32.8,0.3,1
"29","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.8,0.012,0.507,25,18.1,1261,4.9,59.9,32.8,0.3,1
"30","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.8,0.012,0.507,25,18.1,1261,4.9,59.9,32.8,0.3,1
"31","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.8,0.012,0.507,25,18.1,1261,4.9,59.9,32.8,0.3,1
