"","siteid","lat","long","ecoreg","era","area","lev_doc","lev_no3","lev_tn","lev_tp","temp","precip","elev","forest","wetland","urban","ag"
"1","NLA06608-0001",48.97902855,-114.0218399,"6","Year2007",3.757720078,-0.01004044144152,0.406290324639355,0.0146940442907542,0.0806131596506657,0.9,697,1605.73,41.9,0,0,0
"2","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,0.0102783858246331,0.00102693670596509,0.00184470950010703,-0.0012025019976172,18.1,1261,4.9,59.9,32.8,1,0.3
"3","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,0.0102783858246331,0.00102693670596509,0.00184470950010703,-0.0012025019976172,18.1,1261,4.9,59.9,32.8,1,0.3
"4","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,0.0102783858246331,0.00102693670596509,0.00184470950010703,-0.0012025019976172,18.1,1261,4.9,59.9,32.8,1,0.3
"5","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,0.0102783858246331,0.00102693670596509,0.00184470950010703,-0.0012025019976172,18.1,1261,4.9,59.9,32.8,1,0.3
"6","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,0.0102783858246331,0.00102693670596509,0.00184470950010703,-0.0012025019976172,18.1,1261,4.9,59.9,32.8,1,0.3
"7","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,0.0102783858246331,0.00102693670596509,0.00184470950010703,-0.0012025019976172,18.1,1261,4.9,59.9,32.8,1,0.3
"8","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,0.0102783858246331,0.00102693670596509,0.00184470950010703,-0.0012025019976172,18.1,1261,4.9,59.9,32.8,1,0.3
"9","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,0.0102783858246331,0.00102693670596509,0.00184470950010703,-0.0012025019976172,18.1,1261,4.9,59.9,32.8,1,0.3
"10","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,0.0102783858246331,0.00102693670596509,0.00184470950010703,-0.0012025019976172,18.1,1261,4.9,59.9,32.8,1,0.3
"11","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,0.0102783858246331,0.00102693670596509,0.00184470950010703,-0.0012025019976172,18.1,1261,4.9,59.9,32.8,1,0.3
"12","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,0.0102783858246331,0.00102693670596509,0.00184470950010703,-0.0012025019976172,18.1,1261,4.9,59.9,32.8,1,0.3
"13","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,0.0102783858246331,0.00102693670596509,0.00184470950010703,-0.0012025019976172,18.1,1261,4.9,59.9,32.8,1,0.3
