"","siteid","lat","long","ecoreg","era","area","lev_doc","lev_no3","lev_tn","lev_tp","temp","precip","elev","forest","wetland","urban","ag","roads"
"1","FW08AL012",34.95092177,-87.042028,"8","Year2008",4788.279785,-0.094414133180779,-0.054581702617732,-0.0468073471156986,-0.0366268677371556,15.1,1422,292.524,44.613,0.946,6.519,42.103,"1.627"
"2","FW08AL012",34.95092177,-87.042028,"8","Year2008",4788.279785,-0.094414133180779,-0.054581702617732,-0.0468073471156986,-0.0366268677371556,15.1,1422,292.524,44.613,0.946,6.519,42.103,"1.627"
"3","FW08AL012",34.95092177,-87.042028,"8","Year2008",4788.279785,-0.094414133180779,-0.054581702617732,-0.0468073471156986,-0.0366268677371556,15.1,1422,NA,NA,NA,NA,NA,NA
"4","FW08AL012",34.95092177,-87.042028,"8","Year2008",4788.279785,-0.094414133180779,-0.054581702617732,-0.0468073471156986,-0.0366268677371556,15.1,1422,NA,NA,NA,NA,NA,NA
"5","FW08AL013",33.26014983,-85.50357137,"8","Year2008",3.432600021,-9.08797496261541e-05,-0.000100329387040192,-0.000101617989428161,-9.27809291323713e-05,15.9,1454,291.706,73.387,0,3.042,13.005,"0.858"
"6","FW08AL014",32.48594218,-85.72031495,"8","Year2008",926.0349731,-0.0134873311473717,-0.016009158592262,-0.0120820567623415,-0.0272454278858103,17.5,1382,136.849,55.545,6.96,9.541,13.717,"1.669"
"7","FW08AL015",31.08686327,-87.08175172,"8","Year2008",1615.48999,0.000797592179939146,-0.0471340528859426,-0.0426353582137194,-0.0452014328804072,18.3,1599,85.52,60.138,5.261,3.832,10.988,"0.995"
"8","FW08AL016",34.69505835,-87.76208738,"8","Year2008",169.302002,-0.00333303140406599,-0.00462255111216229,-0.00440940266411001,-0.00487164439083272,15.5,1393,NA,NA,NA,NA,NA,NA
"9","FW08AL016",34.69505835,-87.76208738,"8","Year2008",169.302002,-0.00333303140406599,-0.00462255111216229,-0.00440940266411001,-0.00487164439083272,15.5,1393,NA,NA,NA,NA,NA,NA
"10","FW08AL016",34.69505835,-87.76208738,"8","Year2008",169.302002,-0.00333303140406599,-0.00462255111216229,-0.00440940266411001,-0.00487164439083272,15.5,1393,215.629,59.176,1.286,5.332,24.511,"1.388"
"11","FW08AL016",34.69505835,-87.76208738,"8","Year2008",169.302002,-0.00333303140406599,-0.00462255111216229,-0.00440940266411001,-0.00487164439083272,15.5,1393,215.629,59.176,1.286,5.332,24.511,"1.388"
"12","FW08AL018",32.93231611,-86.36246869,"8","Year2008",6.438109875,-0.000141447413734863,-0.000194593711468912,-0.000181784128678265,-0.000181987174910622,16.8,1421,199.32,69.423,0.754,6.146,0,"1.202"
"13","FW08AL019",32.91383014,-87.53264771,"8","Year2008",4.570199966,5.47171617112674e-05,-0.000142444742562373,-8.62699885677002e-05,-0.000124677903535536,17.2,1406,102.157,90.824,1.201,1.162,0.532,"1.669"
"14","FW08AL020",33.41281267,-86.75189943,"8","Year2008",527.7869873,-0.00710071040708045,-0.00931625564691588,-0.00821515807509792,-0.00734760918226662,16.5,1427,229.67,58.235,0.795,24.754,7.074,"3.737"
"15","FW08AL021",31.34380861,-85.60881312,"8","Year2008",1779.349976,-0.00746718512503832,-0.0361471668641371,-0.0362342611232673,-0.0483828162402795,18.7,1345,114.491,48.971,6.132,4.476,20.724,"1.162"
"16","FW08AL022",31.68739652,-88.05213311,"8","Year2008",468.1629944,0.000577848122832275,-0.013696879677456,-0.0125226609212382,-0.0122957822758387,18.1,1515,67.05,69.612,6.984,1.806,0.972,"0.638"
"17","FW08AL023",32.15904561,-87.01008263,"8","Year2008",936.0930176,-0.00675914084837562,-0.0292266029748133,-0.0260228350448868,-0.0201208738283869,18,1370,89.169,66.724,7.44,3.09,7.221,"0.612"
"18","FW08AL024",34.00378128,-86.74110543,"8","Year2008",932.0930176,-0.00650016419360027,0.0438036093049897,0.0258746735792898,0.00966253259338081,15.6,1437,249.223,29.064,0.554,10.079,52.201,"2.419"
"19","FW08AL025",32.43328885,-84.96698746,"8","Year2008",12277.90039,-0.209131675357013,-0.289733808437517,-0.25538017674386,-0.34774250862102,18,1193,297.768,54.932,2.295,21.279,10.667,"3.201"
