,model_type,nutrient,data_type,r^2,times_better_than_random,ecoreg,era,temp,precip,elev,forest,wetland,urban,ag
0,MLP,lev_doc,stream_leverage,0.1383251326493703,2.997553253265397,,,,,,,,,
1,MLP,lev_no3,stream_leverage,0.09843985156830648,4.722925446279177,,,,,,,,,
2,MLP,lev_tn,stream_leverage,0.11828771204346089,2.3701573793799913,,,,,,,,,
3,MLP,lev_tp,stream_leverage,0.002184678320796052,5.1000423474085945,,,,,,,,,
4,GBR,lev_doc,stream_leverage,0.1591870762007922,1.4926771357072772,0.011573279983636777,0.00783869455498883,0.02425271373004088,0.08318318461017146,0.029783973224285956,0.329214094344944,0.4000159088795336,0.06861349561460504,0.04552465505779347
5,GBR,lev_no3,stream_leverage,0.039194489017014944,1.8068184487084233,0.3219522553535464,0.016542000160824036,0.1454660434747917,0.02367166308236062,0.05639718945640389,0.05130666122651116,0.13036387986085754,0.009208310634982703,0.24509199674972196
6,GBR,lev_tn,stream_leverage,0.09560134696752409,1.4393826199268798,0.127094828129183,0.035150420540788464,0.02383305803674823,0.03877190607131116,0.19339196239891074,0.08106435217602737,0.18002868705913241,0.246961919294281,0.07370286629361761
7,GBR,lev_tp,stream_leverage,0.03314897077332157,1.311595792986975,0.027887108853623617,0.0009369227394789035,0.06773574348776651,0.12042625282478432,0.16815179796215157,0.13286692271411793,0.21046083650852873,0.23477109214069994,0.0367633227688483
8,RFR,lev_doc,stream_leverage,0.21259753163307182,5.207999011285195,0.011461626262705213,0.0026683243925994652,0.06788901790430175,0.22157090300555446,0.03644790850208022,0.07135312135617175,0.4036255350396953,0.039942655682782234,0.1450409078541097
9,RFR,lev_no3,stream_leverage,0.11236934614915839,10.088604794369841,0.26423246709497367,0.0006123276349232259,0.07362290878821212,0.07107644826373971,0.06596002253725756,0.10903773159558956,0.15972760058685037,0.07880730788500405,0.17692318561344977
10,RFR,lev_tn,stream_leverage,0.434526271979657,10.369904832575799,0.12693383534730177,0.00627678147228481,0.052794004642165424,0.15226177473616573,0.1431969685204553,0.042344412591706036,0.11334645492323678,0.24413238765879658,0.11871338010788765
11,RFR,lev_tp,stream_leverage,0.10819624961127716,9.131071267406751,0.025823845693245803,0.0001615046840696443,0.06276878211266965,0.3101215368729799,0.09746438684202093,0.08447335948705008,0.14871372525551887,0.2126254834310843,0.05784737562136099
12,DTR,lev_doc,stream_leverage,0.45967648655339094,7.441046229100186,0.00234505877788555,0.002195267333848472,0.03280921332037012,0.13324414370975304,0.018971882870542335,0.4913553095008366,0.25991534423810647,0.018650180959878294,0.04051359928877929
13,DTR,lev_no3,stream_leverage,0.04448845317061101,8.620387918387657,0.3205335398159936,0.0021755377067612302,0.19303536390085677,0.0028561149254513764,0.04935894371991647,0.09604688592811457,0.02407657327624208,0.003958621187524142,0.3079584195391399
14,DTR,lev_tn,stream_leverage,0.16057418753935007,8.798874681597974,0.09493163156905272,0.0013400901727223709,0.038258526526609035,0.01914978560577723,0.22790954449586515,0.012739655518057896,0.10825783509631273,0.27755148501913696,0.2198614459964659
15,DTR,lev_tp,stream_leverage,0.07480883250393999,10.68885223207463,0.015425070899058304,6.973469405868483e-05,0.03555024216804809,0.12277232798189451,0.18671728473054705,0.14326414741394558,0.1158613346709009,0.3476241301798431,0.0327157272617038
